instance_id	Category_label	file_name
0	44	369af217278e664ed791325796bb0ddb.jpg
1	222	b4fb8d40b1a8eb8735ab3293230c42e1.jpg
2	26	155b104a9df79aa3aa8969455eb75825.jpg
3	202	3dfdfa75f079b040470bb891cc9809ac.jpg
4	35	a9f86e60657c2b860a8cfe295117e0d9.jpg
5	243	fa7f34ee2263f79796301de98218ef0d.jpg
6	105	bcbbb9e8b613f6bb23237e4bb4801426.jpg
7	54	5d3a721f2c22b3e60ee9b47d7e98cadb.jpg
8	242	e16b2c217ebbb89c9f3d78ea2b65f2b4.jpg
9	202	4cb305d23524f6c078c3d381ded9017c.jpg
10	99	92d3054ab98597ecaeb1e30b205d205b.jpg
11	245	7533b0a224a790ff25ef9f3c9b6951c0.jpg
12	222	f18fe88958bd75702200bcb543fda639.jpg
13	71	9b7b9cd139a1a20a3c59914190b5e4ff.jpg
14	235	d95e551003ff53994e06c6e3018a63bb.jpg
15	150	7a715e15e41398d8112865a36a3178e9.jpg
16	62	1a0dd78185f9c28776f41a58e1872f41.jpg
17	92	3ab9ace3e79a28a9ccf9163451bdf614.jpg
18	168	1a02c2b0499152657386249caf81c434.jpg
19	215	421584c206dcd0553516b741eb776323.jpg
20	91	441d8d3db1ed8d64f2ff3ff1b008a4a0.jpg
21	153	12215363439e0cdeb73bed9eb245b29e.jpg
22	201	88d7b09c104e99529e004f771c74c4ae.jpg
23	84	d5760666610d29639bbcce0ff382f504.jpg
24	119	f967101cb2bb15ebdb55e1a82373e758.jpg
25	232	3bcc02a5e7a4edd402743c899f545f4a.jpg
26	105	4aae70afe06699486c6b7ad0364f2ef8.jpg
27	219	1846c3e22c3e35338cf81814ee3485e5.jpg
28	83	b01059abe7cdb42712bf8c09675f3f2b.jpg
29	163	e53381f349ef08180de6317f5f1c0f2d.jpg
30	190	e018d979b55a1ed4ef95ee33ddfd63e9.jpg
31	157	3f068bc6ccf48907d78282d355b6fa94.jpg
32	92	428b163b727402e3e78ea9da08f6cc67.jpg
33	73	d19d45a758ea3a5c4eba1a828f6898a4.jpg
34	144	bf16a1c3a63ea1ef79b96f0acf076044.jpg
35	244	6d8c93eb5e03e60b0d779a72d9cfb612.jpg
36	107	526a6e3503acb2ceb62c22f1c75486f4.jpg
37	126	5936f5aab72439623a768cc4325c4700.jpg
38	55	58da20ebac0218fc5397e513861b7dce.jpg
39	152	c6dfbe2c45880220c28c67131d435451.jpg
40	204	7f6b84bbe5436477c7a6121ed6ad661b.jpg
41	93	b744df8465010429dc5c31b4d0193b4f.jpg
42	180	a8c94c46991454579a9a7be38250f5f9.jpg
43	2	6815ef1530c40e544926512ef41955a0.jpg
44	254	0137d0b728844aca53e622a8d59143d9.jpg
45	178	ded0cc36e0c85645075fb8ed4a2b8d7e.jpg
46	83	4ae2662583f7153f305fc5a03492f961.jpg
47	133	46d6b8c11ec38b5db3c16beae2877fa2.jpg
48	252	f377a186e867800c3ce0713a0578d358.jpg
49	100	50a33fe4ad014fcad9a53f91ab252766.jpg
50	43	6ba6c8af521fbe80447f7652f6c5c6b4.jpg
